x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,label
0.289469868,0.839889646,4.46e-07,0.373561561,0.780897319,-0.026343461,0.4294402,0.673217893,-0.029992294,0.4551889,0.577785015,-0.033207171,0.476499468,0.510824561,-0.03560546,0.367955983,0.531541526,-0.000742383,0.382136703,0.419358313,-0.015157391,0.3881118,0.35025984,-0.031593565,0.392259896,0.288833588,-0.045001213,0.316526532,0.52056551,-0.003263629,0.317614466,0.395974815,-0.016244002,0.31915012,0.314067811,-0.03441656,0.319228828,0.243440688,-0.048617888,0.269225299,0.534676373,-0.011043107,0.26103276,0.420776278,-0.026850188,0.261820018,0.345573545,-0.04375365,0.263364434,0.27797547,-0.056159526,0.222493559,0.569787145,-0.022156304,0.206529349,0.481566668,-0.039671261,0.200007662,0.421737015,-0.050342321,0.196540996,0.362969875,-0.057538696,a
0.265974551,0.87567997,5.21e-07,0.360151082,0.810644329,-0.037348758,0.426915675,0.692288339,-0.046098664,0.454675168,0.583630919,-0.052973974,0.479195386,0.504178107,-0.058499102,0.359145939,0.523535848,-0.0105577,0.376021326,0.397968531,-0.031680398,0.38120234,0.317240864,-0.05308789,0.383586168,0.244814038,-0.070016146,0.298940659,0.511696339,-0.012000522,0.297474861,0.369520903,-0.032378446,0.297867298,0.275686622,-0.055266183,0.297049582,0.193480194,-0.072411075,0.244802833,0.530802906,-0.019936452,0.233179614,0.400910646,-0.043834586,0.233601123,0.31694299,-0.063939214,0.235682219,0.240289599,-0.07742729,0.192266047,0.574538171,-0.032162119,0.172838211,0.471821934,-0.056671165,0.165497407,0.401754141,-0.070383489,0.162704125,0.332164884,-0.078901194,a
0.207642734,0.899573267,5.08e-07,0.300355732,0.835258424,-0.037701488,0.363933921,0.715626836,-0.047736045,0.388511151,0.608173251,-0.055697143,0.406951547,0.52802825,-0.062778674,0.29563567,0.54463166,-0.016377393,0.310774982,0.412249118,-0.037767235,0.315946162,0.329471171,-0.058707509,0.318738699,0.256365895,-0.075461172,0.232667655,0.53516835,-0.017247261,0.2282428,0.395188093,-0.036917496,0.224404976,0.305132806,-0.059552267,0.219863757,0.229160905,-0.077070653,0.175768927,0.554897189,-0.024078876,0.164144188,0.42156744,-0.046474822,0.161091655,0.333048791,-0.067395099,0.159669638,0.254129678,-0.082614213,0.121399179,0.599861801,-0.035026781,0.100614741,0.496364057,-0.059842505,0.091353148,0.425748259,-0.074853688,0.087296262,0.356619537,-0.08456298,a
0.371515393,0.862080336,5.09e-07,0.468619108,0.798368156,-0.031622503,0.53296113,0.681946695,-0.041514535,0.563308299,0.578526258,-0.051639583,0.58587867,0.505521297,-0.061649926,0.462078005,0.510727048,-0.01039321,0.477141857,0.383519709,-0.033283096,0.483063608,0.304830939,-0.056621745,0.487219214,0.233048618,-0.074887514,0.401560903,0.502729535,-0.016333008,0.402535856,0.36093989,-0.036289793,0.404025078,0.268895537,-0.059734005,0.404007912,0.188545138,-0.077918731,0.347769439,0.524325311,-0.028051112,0.337312877,0.392835408,-0.04921006,0.336082786,0.305725217,-0.06829489,0.33659938,0.226953179,-0.082234085,0.297270864,0.570697367,-0.04389675,0.277747959,0.467437327,-0.066225171,0.268743277,0.394763976,-0.078554481,0.263880879,0.324090362,-0.086684883,a
0.478895783,0.858858168,5.77e-07,0.577516437,0.797635734,-0.036769766,0.642944038,0.691877604,-0.049824726,0.666436911,0.592007816,-0.061854158,0.693699658,0.509976864,-0.072856024,0.573417544,0.521454155,-0.011882938,0.591645837,0.397653371,-0.036154643,0.601613522,0.319642663,-0.059968837,0.610152006,0.248625368,-0.07792744,0.516237915,0.51075983,-0.014768197,0.520966887,0.372560024,-0.035527863,0.527534246,0.280083388,-0.058803208,0.533923864,0.198786974,-0.076460816,0.464488924,0.529558301,-0.024259891,0.45934239,0.401285172,-0.046741311,0.46423924,0.315281928,-0.065434776,0.471764922,0.237212777,-0.078429833,0.415112376,0.572328389,-0.038175426,0.39688158,0.472129762,-0.061627522,0.390562266,0.400504142,-0.073942542,0.388678551,0.3301045,-0.081430629,a
0.582606196,0.879243731,4.71e-07,0.681679487,0.825595021,-0.026755396,0.748037338,0.707685232,-0.035042956,0.785958171,0.606808543,-0.044554673,0.823671341,0.534774899,-0.054711252,0.68940115,0.538032651,-0.012037545,0.70988369,0.411386162,-0.036250759,0.725010395,0.332994938,-0.059324205,0.739213228,0.260628313,-0.077955365,0.638592482,0.524937391,-0.021364963,0.644822836,0.381825328,-0.043434843,0.655303597,0.28528893,-0.066611268,0.662897527,0.199469984,-0.085071549,0.590823233,0.544221759,-0.036284354,0.584005535,0.411140501,-0.060568895,0.591472089,0.319562167,-0.080946304,0.600449681,0.233796328,-0.096288785,0.543964446,0.587493896,-0.054664038,0.521975279,0.485419601,-0.081331559,0.516482234,0.410025418,-0.096997574,0.515814364,0.334707081,-0.10805808,a
0.648084581,0.853913307,3.69e-07,0.747492254,0.805435419,-0.019810462,0.809871852,0.6887725,-0.023215324,0.847645283,0.591169357,-0.029169451,0.887714505,0.523353577,-0.035521381,0.755833924,0.522490621,0.001198321,0.776790261,0.400617778,-0.017959457,0.791996539,0.327304661,-0.03772286,0.806752026,0.260005146,-0.054111131,0.709273815,0.507243395,-0.009092918,0.717255414,0.369308293,-0.026212888,0.731080174,0.278774053,-0.045879107,0.742674351,0.198263437,-0.061856806,0.664838135,0.523019493,-0.024946325,0.661567986,0.393173009,-0.044683415,0.670106947,0.309213102,-0.061357938,0.679658234,0.230902553,-0.074164718,0.621943474,0.563164055,-0.04401955,0.604731143,0.462084681,-0.06711401,0.599606991,0.388435274,-0.08041241,0.59752506,0.315224439,-0.089777678,a
0.251024187,0.866730571,5.58e-07,0.349437863,0.792428434,-0.033731416,0.4151842,0.657491922,-0.039744351,0.450065613,0.540503979,-0.045014165,0.478384316,0.458265454,-0.049199395,0.335161805,0.48383233,-0.003259871,0.349299639,0.349621236,-0.021795334,0.354150176,0.265827209,-0.043022767,0.356070578,0.1916807,-0.059945088,0.271352708,0.47479859,-0.006281531,0.266471773,0.323376387,-0.021827783,0.262930363,0.22577244,-0.042939149,0.257046461,0.145832688,-0.059545092,0.214027286,0.497701198,-0.015852401,0.20014827,0.35977459,-0.034204461,0.199291468,0.273410738,-0.051008537,0.199035406,0.199379772,-0.063455097,0.157692298,0.546004951,-0.029884642,0.136880845,0.438106,-0.049570024,0.130720109,0.364466667,-0.059628777,0.129137442,0.293030769,-0.066225529,a
0.165477291,0.884245753,5.41e-07,0.269255608,0.807308555,-0.034933567,0.336308777,0.663176954,-0.037474617,0.361557752,0.542257726,-0.038289268,0.380971193,0.461839616,-0.038065646,0.251472741,0.491839647,-0.000447733,0.265387475,0.355125248,-0.014770643,0.269809425,0.269621491,-0.033104908,0.271668732,0.19519943,-0.04905472,0.183859974,0.484509528,-0.000781587,0.17625773,0.338065833,-0.013955239,0.169766054,0.245416969,-0.034722615,0.162674025,0.169994265,-0.051452152,0.12318708,0.507690668,-0.007842557,0.108325563,0.3703233,-0.025707727,0.106771037,0.278580904,-0.04592346,0.106330462,0.197536945,-0.06142132,0.063074365,0.556731164,-0.019170024,0.042996854,0.449514449,-0.040133607,0.035766199,0.377295673,-0.053446379,0.033979282,0.305482507,-0.062765658,a
0.396031022,0.811551213,6.89e-07,0.500233948,0.74408412,-0.039088156,0.572495937,0.627639294,-0.051017515,0.604776919,0.517329991,-0.061962053,0.628491342,0.430346966,-0.071577437,0.484569043,0.446267813,-0.005451812,0.502715945,0.314556181,-0.027391216,0.512152374,0.232069701,-0.051191453,0.520821512,0.157865107,-0.069588214,0.424796492,0.434937119,-0.007080894,0.426238239,0.285892516,-0.025625326,0.428677291,0.186929464,-0.049807481,0.431031287,0.102161199,-0.068267576,0.371454298,0.453214824,-0.015938979,0.362175882,0.31341821,-0.037177019,0.362543285,0.22150445,-0.056590918,0.365247279,0.140123188,-0.070244499,0.32023868,0.495773226,-0.029680097,0.302823067,0.390364647,-0.052128471,0.296549559,0.315286368,-0.064113617,0.294559449,0.241465241,-0.071491748,a
